Week,Date,Shipper,BU,Orders,OLs,Volume,OL/Order,VOL/Order
202406,2002-09-24,13,1601,5,220,3.86,44,0.773
202406,2002-09-24,13,2928,99,297,18.28,3,0.185
202406,2002-09-24,13,1845,2,22,1.13,11,0.567
202406,2002-09-24,13,1846,3,11,0.41,3.7,0.137
202406,2002-09-24,13,1994,7,17,0.7,2.4,0.1
202406,2002-09-24,13,2072,3,11,0.07,3.7,0.022
202406,2002-09-24,13,2074,4,10,0.14,2.5,0.034
202406,2002-09-24,13,2098,3,23,0.15,7.7,0.051
202406,2002-09-24,62,2169,5,19,4.41,3.8,0.883
202406,2002-09-24,62,2223,17,131,5.42,7.7,0.319
202406,2002-09-24,62,2224,27,281,9.39,10.4,0.348
202406,2002-09-24,13,2290,4,18,0.31,4.5,0.079
202406,2002-09-24,13,2332,96,"1,397",46.71,14.6,0.487
202406,2002-09-24,13,2333,6,12,0.34,2,0.056
202406,2002-09-24,13,2353,5,8,0.14,1.6,0.027
202406,2002-09-24,62,2428,2,6,0.33,3,0.167
202406,2002-09-24,62,2430,4,6,0.21,1.5,0.052
202406,2002-09-24,62,2432,10,41,0.51,4.1,0.051
202406,2002-09-24,13,2497,6,12,0.52,2,0.087
202406,2002-09-24,62,2518,13,47,0.68,3.6,0.053
202406,2002-09-24,62,2520,9,38,0.96,4.2,0.106
202406,2002-09-24,62,2547,5,18,0.46,3.6,0.093
202406,2002-09-24,62,2578,11,27,0.5,2.5,0.046
202406,2002-09-24,62,2606,4,12,0.26,3,0.066
202406,2002-09-24,13,2630,55,119,1.62,2.2,0.029
202406,2002-09-24,13,2685,6,15,0.85,2.5,0.142
202406,2002-09-24,13,2729,393,"1,078",13.19,2.7,0.034
202406,2002-09-24,13,2733,1,2,0.06,2,0.06
202406,2002-09-24,13,2734,4,14,0.15,3.5,0.037
202406,2002-09-24,13,2740,1,1,0.01,1,0.011
202406,2002-09-24,13,2757,2,6,0.07,3,0.033
202406,2002-09-24,62,2759,5,6,0.15,1.2,0.03
202406,2002-09-24,62,2785,172,"2,159",126.28,12.6,0.734
202406,2002-09-24,62,2810,2,10,0.11,5,0.053
202406,2002-09-24,13,2848,97,229,2.66,2.4,0.027
202406,2002-09-24,13,1844,7,73,2.95,10.4,0.422
202406,2002-10-24,13,1601,5,15,1.13,3,0.225
202406,2002-10-24,13,2928,118,334,14.82,2.8,0.126
202406,2002-10-24,13,1846,3,4,2.6,1.3,0.866
202406,2002-10-24,13,1994,4,6,0.15,1.5,0.038
202406,2002-10-24,13,2072,4,14,0.23,3.5,0.057
202406,2002-10-24,13,2074,6,20,0.55,3.3,0.092
202406,2002-10-24,62,2169,3,9,0.26,3,0.086
202406,2002-10-24,62,2223,17,184,8.77,10.8,0.516
202406,2002-10-24,62,2224,26,225,8.76,8.7,0.337
202406,2002-10-24,13,2290,2,2,0.34,1,0.17
202406,2002-10-24,13,2332,89,"1,127",45.35,12.7,0.51
202406,2002-10-24,13,2333,8,16,0.54,2,0.068
202406,2002-10-24,13,2353,3,25,0.09,8.3,0.03
202406,2002-10-24,62,2428,1,1,0.03,1,0.028
202406,2002-10-24,62,2430,3,8,0.26,2.7,0.088
202406,2002-10-24,62,2432,13,62,0.65,4.8,0.05
202406,2002-10-24,13,2497,8,18,0.35,2.3,0.044
202406,2002-10-24,62,2518,12,58,1.78,4.8,0.148
202406,2002-10-24,62,2520,13,23,0.73,1.8,0.056
202406,2002-10-24,62,2547,9,40,0.85,4.4,0.094
202406,2002-10-24,62,2578,11,28,0.77,2.5,0.07
202406,2002-10-24,62,2606,5,14,0.45,2.8,0.09
202406,2002-10-24,13,2630,71,114,1.69,1.6,0.024
202406,2002-10-24,62,2652,4,17,0.19,4.3,0.047
202406,2002-10-24,13,2685,13,26,3.44,2,0.264
202406,2002-10-24,13,2729,453,"1,202",14.5,2.7,0.032
202406,2002-10-24,13,2733,3,6,0.23,2,0.077
202406,2002-10-24,13,2734,8,27,1,3.4,0.125
202406,2002-10-24,13,2740,2,9,0.17,4.5,0.085
202406,2002-10-24,13,2757,10,18,0.3,1.8,0.03
202406,2002-10-24,62,2759,3,7,0.3,2.3,0.101
202406,2002-10-24,62,2785,223,"2,267",136.92,10.2,0.614
202406,2002-10-24,62,2810,2,4,0.03,2,0.014
202406,2002-10-24,13,2848,137,404,4.63,2.9,0.034
202406,2002-10-24,13,1844,7,51,2.5,7.3,0.357
202407,2002-11-24,13,1601,5,24,1.44,4.8,0.288
202407,2002-11-24,13,1844,2,32,0.82,16,0.411
202407,2002-11-24,13,1845,4,65,2.12,16.3,0.531
202407,2002-11-24,13,1846,5,20,2.49,4,0.497
202407,2002-11-24,13,1994,11,39,1.3,3.5,0.118
202407,2002-11-24,13,2072,4,19,0.28,4.8,0.071
202407,2002-11-24,13,2074,7,34,0.57,4.9,0.081
202407,2002-11-24,13,2098,3,5,0.12,1.7,0.041
202407,2002-11-24,62,2169,11,60,2.76,5.5,0.251
202407,2002-11-24,62,2223,25,153,5.11,6.1,0.204
202407,2002-11-24,62,2224,34,341,19.47,10,0.573
202407,2002-11-24,13,2290,3,7,0.22,2.3,0.075
202407,2002-11-24,13,2332,98,880,37.04,9,0.378
202407,2002-11-24,13,2333,5,9,0.27,1.8,0.054
202407,2002-11-24,13,2353,6,31,0.41,5.2,0.069
202407,2002-11-24,62,2428,3,27,0.14,9,0.047
202407,2002-11-24,62,2430,9,23,2.52,2.6,0.28
202407,2002-11-24,62,2432,7,15,0.16,2.1,0.022
202407,2002-11-24,13,2497,8,40,0.71,5,0.089
202407,2002-11-24,62,2518,4,5,0.22,1.3,0.055
202407,2002-11-24,62,2520,19,52,1.27,2.7,0.067
202407,2002-11-24,62,2547,6,14,0.27,2.3,0.044
202407,2002-11-24,62,2578,12,26,0.5,2.2,0.041
202407,2002-11-24,62,2606,8,20,0.4,2.5,0.05
202407,2002-11-24,13,2630,69,151,1.71,2.2,0.025
202407,2002-11-24,62,2652,1,2,0.06,2,0.06
202407,2002-11-24,13,2685,13,20,2.92,1.5,0.224
202407,2002-11-24,13,2729,501,"1,426",16.97,2.8,0.034
202407,2002-11-24,13,2733,2,8,0.23,4,0.113
202407,2002-11-24,13,2734,7,21,0.24,3,0.035
202407,2002-11-24,13,2740,1,3,0.04,3,0.04
202407,2002-11-24,13,2757,3,8,0.07,2.7,0.022
202407,2002-11-24,62,2759,6,22,0.16,3.7,0.026
202407,2002-11-24,62,2785,258,"2,258",148.38,8.8,0.575
202407,2002-11-24,62,2810,2,4,0.03,2,0.016
202407,2002-11-24,13,2848,151,416,5.51,2.8,0.037
202407,2002-11-24,13,2928,127,290,16.57,2.3,0.13
202407,2002-12-24,13,1601,10,256,5.75,25.6,0.575
202407,2002-12-24,13,3014,2,2,0.01,1,0.004
202407,2002-12-24,13,1845,3,11,0.63,3.7,0.21
202407,2002-12-24,13,1846,8,28,1.69,3.5,0.211
202407,2002-12-24,13,1994,6,11,0.54,1.8,0.089
202407,2002-12-24,13,2072,2,8,0.09,4,0.043
202407,2002-12-24,13,2074,13,36,0.89,2.8,0.068
202407,2002-12-24,13,2098,2,10,0.21,5,0.107
202407,2002-12-24,62,2169,2,11,0.5,5.5,0.248
202407,2002-12-24,62,2223,14,34,1.81,2.4,0.129
202407,2002-12-24,62,2224,35,205,11.99,5.9,0.343
202407,2002-12-24,13,2290,2,4,0.12,2,0.061
202407,2002-12-24,13,2332,87,960,47.37,11,0.545
202407,2002-12-24,13,2333,1,1,0.02,1,0.017
202407,2002-12-24,13,2353,8,20,0.24,2.5,0.03
202407,2002-12-24,62,2428,1,1,0.07,1,0.068
202407,2002-12-24,62,2430,8,21,0.76,2.6,0.095
202407,2002-12-24,62,2432,13,88,1.89,6.8,0.145
202407,2002-12-24,13,2497,10,22,0.87,2.2,0.087
202407,2002-12-24,62,2518,9,46,0.94,5.1,0.105
202407,2002-12-24,62,2520,13,38,1.1,2.9,0.085
202407,2002-12-24,62,2547,9,30,0.56,3.3,0.062
202407,2002-12-24,62,2578,11,33,0.52,3,0.047
202407,2002-12-24,62,2606,3,10,0.42,3.3,0.14
202407,2002-12-24,13,2630,68,149,1.21,2.2,0.018
202407,2002-12-24,13,2685,3,13,0.99,4.3,0.331
202407,2002-12-24,13,2729,444,"1,221",14.49,2.8,0.033
202407,2002-12-24,13,2734,4,12,0.2,3,0.051
202407,2002-12-24,13,2739,1,5,0.03,5,0.031
202407,2002-12-24,13,2757,8,36,0.17,4.5,0.021
202407,2002-12-24,62,2759,8,27,0.21,3.4,0.026
202407,2002-12-24,62,2785,207,"2,095",143.03,10.1,0.691
202407,2002-12-24,62,2810,5,12,0.29,2.4,0.057
202407,2002-12-24,13,2848,123,348,4.22,2.8,0.034
202407,2002-12-24,13,2928,95,247,10.88,2.6,0.115
202407,2002-12-24,13,3012,5,5,0.15,1,0.03
202407,2002-12-24,13,3013,5,5,0.09,1,0.018
202407,2002-12-24,13,1844,4,17,1.27,4.3,0.318
202407,2-13-24,13,1601,8,50,2.33,6.3,0.291
202407,2-13-24,13,2928,95,299,14.68,3.1,0.155
202407,2-13-24,13,1994,6,16,0.33,2.7,0.056
202407,2-13-24,13,2072,1,1,0.03,1,0.028
202407,2-13-24,13,2074,6,23,0.7,3.8,0.117
202407,2-13-24,13,2098,4,5,0.45,1.3,0.113
202407,2-13-24,62,2223,26,280,6.18,10.8,0.238
202407,2-13-24,62,2224,34,259,15.01,7.6,0.442
202407,2-13-24,13,2290,4,12,0.18,3,0.045
202407,2-13-24,13,2332,81,925,37.37,11.4,0.461
202407,2-13-24,13,2333,5,20,0.19,4,0.038
202407,2-13-24,13,2353,3,9,0.24,3,0.081
202407,2-13-24,62,2428,5,18,0.77,3.6,0.154
202407,2-13-24,62,2430,10,51,1.5,5.1,0.15
202407,2-13-24,62,2432,10,28,0.61,2.8,0.061
202407,2-13-24,13,2497,12,19,1.79,1.6,0.149
202407,2-13-24,62,2518,10,31,3.78,3.1,0.378
202407,2-13-24,62,2520,15,38,0.77,2.5,0.051
202407,2-13-24,62,2547,6,23,0.47,3.8,0.079
202407,2-13-24,62,2578,12,27,0.48,2.3,0.04
202407,2-13-24,62,2606,5,12,0.17,2.4,0.034
202407,2-13-24,13,2630,58,136,1.35,2.3,0.023
202407,2-13-24,62,2652,2,4,0.04,2,0.019
202407,2-13-24,13,2685,11,50,4.64,4.5,0.422
202407,2-13-24,13,2729,428,"1,179",15.43,2.8,0.036
202407,2-13-24,13,2733,3,5,0.66,1.7,0.22
202407,2-13-24,13,2734,4,10,0.17,2.5,0.042
202407,2-13-24,13,2739,2,3,0.02,1.5,0.01
202407,2-13-24,13,2757,8,15,0.18,1.9,0.023
202407,2-13-24,62,2759,4,13,0.21,3.3,0.053
202407,2-13-24,62,2785,163,"1,546",103.85,9.5,0.637
202407,2-13-24,62,2810,4,13,0.17,3.3,0.044
202407,2-13-24,13,2848,99,297,2.88,3,0.029
202407,2-13-24,13,1844,5,41,1.82,8.2,0.363
202407,2-14-24,13,1601,10,83,4.3,8.3,0.43
202407,2-14-24,13,2928,74,206,14.29,2.8,0.193
202407,2-14-24,13,1845,1,19,0.85,19,0.845
202407,2-14-24,13,1846,1,137,2.62,137,2.618
202407,2-14-24,13,1847,1,45,1.22,45,1.222
202407,2-14-24,13,1994,8,21,0.57,2.6,0.072
202407,2-14-24,13,2072,3,12,0.2,4,0.068
202407,2-14-24,13,2074,8,18,0.65,2.3,0.081
202407,2-14-24,13,2098,1,2,0.28,2,0.28
202407,2-14-24,62,2223,13,64,4.09,4.9,0.314
202407,2-14-24,62,2224,16,182,6.72,11.4,0.42
202407,2-14-24,13,2290,2,4,0.18,2,0.091
202407,2-14-24,13,2332,72,886,31.84,12.3,0.442
202407,2-14-24,13,2333,2,3,0.95,1.5,0.476
202407,2-14-24,13,2353,1,1,0.01,1,0.009
202407,2-14-24,62,2428,1,10,0.22,10,0.223
202407,2-14-24,62,2430,7,16,0.73,2.3,0.104
202407,2-14-24,62,2432,8,29,0.37,3.6,0.046
202407,2-14-24,13,2497,4,5,0.36,1.3,0.09
202407,2-14-24,62,2518,9,20,1.04,2.2,0.115
202407,2-14-24,62,2520,10,73,5.16,7.3,0.516
202407,2-14-24,62,2547,6,17,0.3,2.8,0.05
202407,2-14-24,62,2578,9,18,0.35,2,0.038
202407,2-14-24,13,2630,45,99,0.89,2.2,0.02
202407,2-14-24,62,2652,3,5,0.23,1.7,0.077
202407,2-14-24,13,2685,5,22,0.95,4.4,0.19
202407,2-14-24,13,2729,356,"1,044",12.84,2.9,0.036
202407,2-14-24,13,2733,4,15,0.54,3.8,0.134
202407,2-14-24,13,2734,4,16,0.2,4,0.049
202407,2-14-24,13,2757,4,8,0.3,2,0.075
202407,2-14-24,62,2759,3,5,0.26,1.7,0.086
202407,2-14-24,62,2785,164,"1,956",110.36,11.9,0.673
202407,2-14-24,13,2848,105,338,3.37,3.2,0.032
202407,2-14-24,13,1844,5,33,1.98,6.6,0.397
202407,2-15-24,13,1601,5,11,1.57,2.2,0.314
202407,2-15-24,13,2928,84,280,14.09,3.3,0.168
202407,2-15-24,13,1845,1,20,0.45,20,0.452
202407,2-15-24,13,1846,4,15,1.26,3.8,0.315
202407,2-15-24,13,1994,11,62,0.93,5.6,0.084
202407,2-15-24,13,2072,1,1,0.03,1,0.028
202407,2-15-24,13,2074,4,7,0.18,1.8,0.045
202407,2-15-24,13,2098,3,9,0.04,3,0.014
202407,2-15-24,62,2223,18,328,10.47,18.2,0.582
202407,2-15-24,62,2224,28,200,9.31,7.1,0.332
202407,2-15-24,13,2290,5,10,0.23,2,0.046
202407,2-15-24,13,2332,60,834,25.76,13.9,0.429
202407,2-15-24,13,2333,5,14,0.48,2.8,0.096
202407,2-15-24,13,2353,6,16,0.3,2.7,0.05
202407,2-15-24,62,2428,4,5,0.17,1.3,0.042
202407,2-15-24,62,2430,10,21,0.97,2.1,0.097
202407,2-15-24,62,2432,9,24,0.36,2.7,0.04
202407,2-15-24,13,2497,5,21,0.6,4.2,0.12
202407,2-15-24,62,2518,10,17,0.71,1.7,0.071
202407,2-15-24,62,2520,14,33,0.76,2.4,0.054
202407,2-15-24,62,2547,8,19,0.76,2.4,0.095
202407,2-15-24,62,2578,12,30,0.66,2.5,0.055
202407,2-15-24,62,2606,4,17,0.24,4.3,0.06
202407,2-15-24,13,2630,51,89,1.06,1.7,0.021
202407,2-15-24,62,2652,1,1,0.03,1,0.028
202407,2-15-24,13,2685,6,29,0.96,4.8,0.16
202407,2-15-24,13,2729,378,"1,146",13.35,3,0.035
202407,2-15-24,13,2733,1,1,0.11,1,0.112
202407,2-15-24,13,2734,4,7,0.13,1.8,0.032
202407,2-15-24,13,2739,2,29,0.19,14.5,0.096
202407,2-15-24,13,2740,2,3,0.1,1.5,0.048
202407,2-15-24,13,2757,2,4,0.03,2,0.017
202407,2-15-24,62,2759,5,17,0.25,3.4,0.05
202407,2-15-24,62,2785,180,"1,606",110.78,8.9,0.615
202407,2-15-24,62,2810,2,8,0.05,4,0.026
202407,2-15-24,13,2848,86,233,2.86,2.7,0.033
202407,2-15-24,13,1844,2,13,0.57,6.5,0.284
202407,2-16-24,13,1601,3,28,0.72,9.3,0.241
202407,2-16-24,13,3014,1,8,2.35,8,2.346
202407,2-16-24,13,1845,1,111,2.31,111,2.308
202407,2-16-24,13,1846,4,21,1.31,5.3,0.328
202407,2-16-24,13,1994,5,5,1.39,1,0.278
202407,2-16-24,13,2072,3,10,0.13,3.3,0.043
202407,2-16-24,13,2098,1,1,0.02,1,0.019
202407,2-16-24,62,2223,19,309,8.31,16.3,0.437
202407,2-16-24,62,2224,22,565,11.19,25.7,0.509
202407,2-16-24,13,2290,6,16,0.16,2.7,0.026
202407,2-16-24,13,2332,73,921,32.74,12.6,0.448
202407,2-16-24,13,2333,2,4,0.04,2,0.018
202407,2-16-24,13,2353,6,16,0.83,2.7,0.139
202407,2-16-24,62,2428,2,3,0.06,1.5,0.028
202407,2-16-24,62,2430,3,10,0.8,3.3,0.265
202407,2-16-24,62,2432,5,8,0.29,1.6,0.059
202407,2-16-24,13,2497,15,25,2.18,1.7,0.146
202407,2-16-24,62,2518,8,24,1.06,3,0.133
202407,2-16-24,62,2520,16,41,1.13,2.6,0.071
202407,2-16-24,62,2547,6,19,0.23,3.2,0.039
202407,2-16-24,62,2578,11,29,1.1,2.6,0.1
202407,2-16-24,62,2606,1,1,0.04,1,0.039
202407,2-16-24,13,2630,49,95,1.04,1.9,0.021
202407,2-16-24,62,2652,1,2,0.01,2,0.01
202407,2-16-24,13,2685,8,32,1.07,4,0.134
202407,2-16-24,13,2729,363,917,12.14,2.5,0.033
202407,2-16-24,13,2733,2,5,0.35,2.5,0.177
202407,2-16-24,13,2734,7,22,0.39,3.1,0.055
202407,2-16-24,13,2740,2,7,0.19,3.5,0.095
202407,2-16-24,13,2757,4,13,0.14,3.3,0.035
202407,2-16-24,62,2759,5,10,0.25,2,0.05
202407,2-16-24,62,2785,200,"2,515",128.7,12.6,0.643
202407,2-16-24,62,2810,5,16,0.1,3.2,0.02
202407,2-16-24,13,2848,97,282,3.34,2.9,0.034
202407,2-16-24,13,2928,104,314,15.19,3,0.146
202407,2-16-24,13,1844,5,153,3.34,30.6,0.667
202407,2-17-24,13,1601,9,80,4.05,8.9,0.45
202407,2-17-24,13,2928,132,306,22.38,2.3,0.17
202407,2-17-24,13,1845,1,4,0.31,4,0.309
202407,2-17-24,13,1846,5,39,1.22,7.8,0.244
202407,2-17-24,13,1994,7,11,0.93,1.6,0.132
202407,2-17-24,13,2072,2,6,0.07,3,0.034
202407,2-17-24,13,2074,4,9,0.5,2.3,0.125
202407,2-17-24,13,2098,7,20,0.76,2.9,0.109
202407,2-17-24,62,2223,21,123,6.54,5.9,0.312
202407,2-17-24,62,2224,29,507,18.12,17.5,0.625
202407,2-17-24,13,2290,6,12,0.15,2,0.025
202407,2-17-24,13,2332,102,"1,662",57.38,16.3,0.563
202407,2-17-24,13,2333,4,10,0.28,2.5,0.071
202407,2-17-24,13,2353,2,2,0.02,1,0.009
202407,2-17-24,62,2428,4,5,0.43,1.3,0.107
202407,2-17-24,62,2430,7,11,1.84,1.6,0.263
202407,2-17-24,62,2432,9,43,1.24,4.8,0.137
202407,2-17-24,13,2497,10,24,0.82,2.4,0.082
202407,2-17-24,62,2518,8,24,0.52,3,0.064
202407,2-17-24,62,2520,16,54,0.99,3.4,0.062
202407,2-17-24,62,2547,10,38,0.67,3.8,0.067
202407,2-17-24,62,2578,10,27,0.67,2.7,0.067
202407,2-17-24,62,2606,3,7,0.15,2.3,0.05
202407,2-17-24,13,2630,46,84,1.1,1.8,0.024
202407,2-17-24,62,2652,2,8,0.09,4,0.045
202407,2-17-24,13,2685,14,81,2.24,5.8,0.16
202407,2-17-24,13,2729,417,"1,140",14.67,2.7,0.035
202407,2-17-24,13,2733,1,1,0.32,1,0.323
202407,2-17-24,13,2734,6,35,0.86,5.8,0.144
202407,2-17-24,13,2757,6,17,0.21,2.8,0.034
202407,2-17-24,62,2759,4,36,0.36,9,0.091
202407,2-17-24,62,2785,305,"2,130",190.4,7,0.624
